City_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_Speed
1015776,Bredasdorp,92,ZA,1583979995,88,-34.53,20.04,19,6.2
347634,Ţahţā,75,EG,1583980094,31,26.77,31.5,26,9.3
2236967,Soyo,76,AO,1583980004,87,-6.13,12.37,26.13,0.73
3421765,Nanortalik,0,GL,1583979997,72,60.14,-45.24,-3.52,2.32
3883457,Lebu,67,CL,1583980239,95,-37.62,-73.65,11.01,0.91
203717,Yangambi,100,CD,1583980239,97,0.81,24.43,21.71,1.51
3457360,Medeiros Neto,100,BR,1583980239,97,-17.37,-40.22,22.52,3.35
4020109,Atuona,4,PF,1583980239,75,-9.8,-139.03,27.93,5.2
5969025,Haines Junction,76,CA,1583980240,86,60.75,-137.51,-20.56,1.94
3833367,Ushuaia,90,AR,1583980240,93,-54.8,-68.3,8,2.6
4030556,Rikitea,4,PF,1583980240,76,-23.12,-134.97,25.36,5.42
2618795,Klaksvík,99,FO,1583980049,86,62.23,-6.59,3,4.6
1502750,Kommunisticheskiy,100,RU,1583980240,92,61.68,64.48,0.67,4.61
2127202,Anadyr,90,RU,1583980241,84,64.75,177.48,-13,16
2075265,Busselton,82,AU,1583980241,32,-33.65,115.33,26.67,5.16
4031742,Egvekinot,100,RU,1583980093,97,66.32,-179.17,-19.49,2.59
6180550,Whitehorse,20,CA,1583980202,38,60.72,-135.05,-13.89,4.1
110690,Faya,30,SA,1583980241,87,18.39,42.45,15,0.47
4004293,Ixtapa,90,MX,1583980041,88,20.7,-105.2,24.44,0.55
3369157,Cape Town,75,ZA,1583980202,93,-33.93,18.42,17.22,5.7
2092164,Lorengau,100,PG,1583980242,72,-2.02,147.27,28.99,4.85
4589446,North Myrtle Beach,40,US,1583979964,77,33.82,-78.68,18.33,4.6
2110227,Butaritari,100,KI,1583979991,74,3.07,172.79,26.95,0.59
3839307,Rawson,0,AR,1583980044,73,-43.3,-65.1,18.26,0.4
2112802,Hasaki,20,JP,1583980243,34,35.73,140.83,15,3.1
2206939,Bluff,46,NZ,1583980243,67,-46.6,168.33,15.56,4.47
5847411,Kahului,40,US,1583980243,78,20.89,-156.47,25,3.1
5122534,Jamestown,90,US,1583980026,86,42.1,-79.24,4.44,2.1
2127515,Wakkanai,20,JP,1583980244,47,45.41,141.67,2,8.7
934322,Mahébourg,40,MU,1583980033,100,-20.41,57.7,26.11,2.42
546105,Nikolskoye,90,RU,1583980244,93,59.7,30.79,3,4
2259655,Impfondo,100,CG,1583980244,97,1.64,18.07,22.11,1.53
1490256,Talnakh,75,RU,1583980245,76,69.49,88.4,-21,12
5880054,Barrow,1,US,1583980245,95,71.29,-156.79,-34,4.1
932987,Tsabong,72,BW,1583980245,39,-26.02,22.4,24.77,5.14
1623251,Trenggalek,70,ID,1583980245,74,-8.05,111.72,27.67,2.08
3899695,Ancud,100,CL,1583980087,93,-41.87,-73.82,12,1
6201424,Mataura,1,NZ,1583980246,67,-46.19,168.86,15.56,4.47
3874787,Punta Arenas,75,CL,1583980165,87,-53.15,-70.92,9,1.5
1862505,Hirara,75,JP,1583980246,68,24.8,125.28,20,5.1
5855927,Hilo,90,US,1583980053,65,19.73,-155.09,26,4.1
2126123,Chokurdakh,0,RU,1583980041,89,70.63,147.92,-29.15,1.19
1244926,Hambantota,75,LK,1583980247,100,6.12,81.12,24,2.1
3423146,Ilulissat,13,GL,1583980247,70,69.22,-51.1,-17,3.1
5848280,Kapaa,75,US,1583980238,65,22.08,-159.32,26,6.2
6170031,Tuktoyaktuk,40,CA,1583980247,74,69.45,-133.04,-32,3.1
5955902,Fort Nelson,75,CA,1583980248,78,58.81,-122.7,-12,5.1
1006984,East London,100,ZA,1583980248,85,-33.02,27.91,22.08,4.98
4032243,Vaini,90,TO,1583980248,94,-21.2,-175.2,26,2.6
5954718,Flin Flon,100,CA,1583980248,97,54.77,-101.86,-2.9,1.82
1082243,Ambilobe,100,MG,1583980040,92,-13.2,49.05,24.57,1.74
2120591,Tilichiki,100,RU,1583980249,98,60.47,166.1,0.77,14.49
3445026,Vila Velha,90,BR,1583980249,83,-20.33,-40.29,25,3.6
3466704,Castro,1,BR,1583980249,96,-24.79,-50.01,17.03,3.82
5106841,Albany,75,US,1583980196,51,42.6,-73.97,3.89,2.6
964432,Port Alfred,100,ZA,1583980250,96,-33.59,26.89,20.56,1.34
2021031,Kyren,1,RU,1583980250,64,51.68,102.14,-11.78,2.03
4031574,Provideniya,90,RU,1583980250,85,64.38,-173.3,-11,9
2155415,New Norfolk,75,AU,1583979991,46,-42.78,147.06,22.22,2.6
2012530,Zhigansk,67,RU,1583980250,91,66.77,123.37,-28.56,9.77
926747,Mchinji,78,MW,1583980251,98,-13.8,32.88,17.88,0.62
6014443,Lac du Bonnet,91,CA,1583980251,81,50.25,-96.06,1.67,1.34
2063036,Port Lincoln,59,AU,1583980251,32,-34.73,135.87,31.12,7.08
6255012,Flinders,40,AU,1583979989,50,-34.58,150.86,26.11,6.2
3366880,Hermanus,94,ZA,1583979986,86,-34.42,19.23,16.67,0.89
2112309,Katsuura,75,JP,1583980252,35,35.13,140.3,13.33,5.7
2074865,Carnarvon,0,AU,1583980252,58,-24.87,113.63,30,8.2
2157698,Mildura,91,AU,1583980252,33,-34.2,142.15,31.11,5.1
102527,Sakakah,98,SA,1583980253,16,29.97,40.21,20,3.6
2264557,Ponta do Sol,20,PT,1583980253,67,32.67,-17.1,14,1.5
3654410,Manta,40,EC,1583980253,83,-0.95,-80.73,27,2.6
2015306,Tiksi,0,RU,1583980001,73,71.69,128.87,-24.42,5.44
2381334,Atar,0,MR,1583980253,8,20.52,-13.05,19.39,2.89
60019,Eyl,100,SO,1583980254,79,7.98,49.82,25.64,9.83
1626493,Srandakan,69,ID,1583980254,68,-7.94,110.25,29.78,3
777019,Vardø,100,NO,1583980254,84,70.37,31.11,-2.1,6.07
3471451,Arraial do Cabo,20,BR,1583980048,83,-22.97,-42.03,22,1
5859699,College,90,US,1583980255,59,64.86,-147.8,-17.22,0.88
2163355,Hobart,75,AU,1583980250,46,-42.88,147.33,23.89,2.6
5282297,Bethel,40,US,1583980255,30,41.37,-73.41,9,1.5
4035715,Avarua,1,CK,1583980255,94,-21.21,-159.78,26,4.6
2093967,Kimbe,100,PG,1583980256,91,-5.55,150.14,25.36,2.04
5924351,Clyde River,75,CA,1583979991,74,70.47,-68.59,-30,4.1
240210,Birao,28,CF,1583980256,11,10.28,22.79,23,1.79
2123814,Leningradskiy,100,RU,1583980005,82,69.38,178.42,-20.43,6.52
2374583,Bubaque,0,GW,1583980257,68,11.28,-15.83,26.89,4.19
2156643,Mount Gambier,58,AU,1583980257,25,-37.83,140.77,32,7.7
1645528,Denpasar,20,ID,1583980180,83,-8.65,115.22,29,1.5
2122090,Pevek,100,RU,1583980257,78,69.7,170.31,-17.86,1.95
3466165,Cidreira,1,BR,1583980257,85,-30.18,-50.21,24.03,10.55
523392,Naryan-Mar,100,RU,1583980257,96,67.67,53.09,-2.27,5.19
964420,Port Elizabeth,75,ZA,1583979989,88,-33.92,25.57,20,5.7
1785036,Zhangye,100,CN,1583980258,32,38.93,100.45,0.26,3.44
6185377,Yellowknife,20,CA,1583979994,59,62.46,-114.35,-18,4.1
3838874,Río Cuarto,75,AR,1583980259,88,-33.13,-64.35,19,6.7
1798760,Pingliang,100,CN,1583980259,18,35.54,106.69,5.13,4.16
2189343,Kaeo,67,NZ,1583980038,67,-35.1,173.78,23.33,2.24
286621,Salalah,20,OM,1583980259,64,17.02,54.09,22,2.1
3461425,Ilhabela,0,BR,1583980096,78,-23.78,-45.36,24.4,6.95
3628473,San Cristobal,75,VE,1583980255,78,7.77,-72.22,26,1
5563839,Fortuna,75,US,1583980260,93,40.6,-124.16,11.11,5.1
3831208,Qaanaaq,0,GL,1583980260,43,77.48,-69.36,-29.68,3
2155562,Nelson Bay,40,AU,1583980053,41,-32.72,152.15,25.56,6.2
2328090,Ode,50,NG,1583980261,84,7.79,5.71,23.66,2.4
3652764,Puerto Ayora,3,EC,1583980202,100,-0.74,-90.35,27.22,1.65
2648341,Golspie,33,GB,1583980261,67,57.97,-3.98,1.67,4.6
1791779,Wanning,1,CN,1583980261,78,18.8,110.4,26.3,5.01
986717,Kruisfontein,69,ZA,1583980012,91,-34,24.73,18.98,4.93
2017155,Saskylakh,98,RU,1583980262,91,71.92,114.08,-17.68,8.94
371745,Kutum,21,SD,1583980262,10,14.2,24.67,21.11,7.99
1507390,Dikson,82,RU,1583980262,99,73.51,80.55,-25.46,4.88
2013258,Vrangel',47,RU,1583980262,82,42.73,133.08,3.05,6.39
3424607,Tasiilaq,95,GL,1583980263,60,65.61,-37.64,-13,3.6
1106643,Quatre Cocos,40,MU,1583980006,100,-20.21,57.76,26.11,4.27
3430863,Mar del Plata,100,AR,1583980191,93,-38,-57.56,20.56,4.1
2077895,Alice Springs,28,AU,1583980239,18,-23.7,133.88,34,2.6
6167817,Torbay,90,CA,1583980263,100,47.67,-52.73,0.56,5.7
3450232,Santa Fé do Sul,0,BR,1583980038,87,-20.21,-50.93,22.34,2.06
2121385,Severo-Kuril'sk,97,RU,1583980264,87,50.68,156.12,-6.86,12.82
1185095,Teknāf,0,BD,1583980265,28,20.86,92.31,29.55,1.29
665521,Tarcău,47,RO,1583980265,88,46.87,26.13,5.56,1.83
2062276,Roebourne,86,AU,1583980235,37,-20.78,117.13,34.55,9.99
710381,Chudniv,0,UA,1583980266,82,50.05,28.12,3.63,4.54
3361934,Saldanha,65,ZA,1583980266,87,-33.01,17.94,16,6.2
2289983,Dimbokro,100,CI,1583980191,93,6.65,-4.7,24.68,1.08
1636426,Manggar,55,ID,1583980266,78,-2.88,108.27,28.06,6.08
3385077,Conde,75,BR,1583980266,88,-7.26,-34.91,27,2.1
5983720,Iqaluit,5,CA,1583980267,68,63.75,-68.51,-27.78,1
1529660,Aksu,100,CN,1583980267,34,41.12,80.26,5.52,7.98
3520994,Puerto Escondido,5,MX,1583980267,69,15.85,-97.07,28,1.3
2067089,Maningrida,22,AU,1583980268,74,-12.07,134.27,29.39,5.36
2312888,Mbanza-Ngungu,100,CD,1583980268,99,-5.25,14.87,20.04,1.12
6111862,Port Hardy,75,CA,1583980268,75,50.7,-127.42,5,2.1
5557293,Sitka,75,US,1583980180,69,57.05,-135.33,3,4.1
